Cp1252,,
Domain,UniqueName,visibleOnUI
unspsc,811022,true
unspsc,811115,true
unspsc,811116,true
unspsc,811117,true
naics_v2002,811118,true
unspsc,811120,true
naics_v2002,811121,true
naics_v2002,811122,true
unspsc,811215,true
unspsc,811315,true
unspsc,811415,true
unspsc,811416,true
unspsc,811417,true
unspsc,811418,true
unspsc,811617,true
unspsc,821015,true
unspsc,821018,true
unspsc,821019,true
unspsc,821115,true
unspsc,821116,true
unspsc,821117,true
unspsc,821118,true
unspsc,821119,true
unspsc,821215,true
unspsc,821216,true
unspsc,821218,true
unspsc,821219,true
unspsc,821315,true
unspsc,821316,true
unspsc,821415,true
unspsc,821416,true
unspsc,821515,true
unspsc,831015,true
unspsc,831016,true
unspsc,831018,true
unspsc,831116,true
unspsc,831117,true
unspsc,831118,true
unspsc,831119,true
unspsc,831122,true
unspsc,831124,true
unspsc,831217,true
unspsc,841115,true
unspsc,841116,true
unspsc,841316,true
unspsc,851116,true
unspsc,851216,true
unspsc,851217,true
unspsc,851221,true
unspsc,861016,true
unspsc,861017,true
unspsc,861018,true
unspsc,861115,true
unspsc,861116,true
unspsc,861117,true
unspsc,861216,true
unspsc,861217,true
unspsc,861218,true
unspsc,861415,true
unspsc,861417,true
unspsc,901015,true
unspsc,901016,true
unspsc,901017,true
unspsc,901018,true
unspsc,901115,true
unspsc,901116,true
unspsc,901118,true
unspsc,901215,true
unspsc,901216,true
unspsc,901217,true
unspsc,901315,true
unspsc,901417,true
unspsc,901515,true
unspsc,911018,true
unspsc,911115,true
unspsc,911117,true
unspsc,911118,true
unspsc,911119,true
unspsc,921016,true
unspsc,921215,true
unspsc,921217,true
unspsc,931116,true
unspsc,931515,true
unspsc,931616,true
unspsc,941015,true
unspsc,941016,true
unspsc,941017,true
unspsc,941315,true
unspsc,941316,true
unspsc,990011,true
unspsc,10171701,true
unspsc,10191506,true
unspsc,10191507,true
unspsc,10191509,true
unspsc,10191704,true
unspsc,11101501,true
unspsc,11101502,true
unspsc,11101503,true
unspsc,11101506,true
unspsc,11101507,true
unspsc,11101510,true
unspsc,11101521,true
unspsc,11101522,true
unspsc,11101702,true
unspsc,11101704,true
unspsc,11101705,true
unspsc,11101711,true
unspsc,11101712,true
unspsc,11101713,true
unspsc,11101714,true
unspsc,11101715,true
unspsc,11101719,true
unspsc,11111502,true
unspsc,11111503,true
unspsc,11111605,true
unspsc,11111608,true
unspsc,11111611,true
unspsc,11111701,true
unspsc,11111802,true
unspsc,11111808,true
unspsc,11121604,true
unspsc,11121606,true
unspsc,11121609,true
unspsc,11121610,true
unspsc,11121611,true
unspsc,11121706,true
unspsc,11141501,true
unspsc,11141603,true
unspsc,11141606,true
unspsc,11141607,true
unspsc,11141608,true
unspsc,11151508,true
unspsc,11151512,true
unspsc,11151513,true
unspsc,11151515,true
unspsc,11151610,true
unspsc,11151701,true
unspsc,11151702,true
unspsc,11151712,true
unspsc,11161703,true
unspsc,11161704,true
unspsc,11161705,true
unspsc,11162101,true
unspsc,11162105,true
unspsc,11162108,true
unspsc,11162110,true
unspsc,11162111,true
unspsc,11162113,true
unspsc,11162114,true
unspsc,11162115,true
unspsc,11162116,true
unspsc,11162117,true
unspsc,11162123,true
unspsc,11162124,true
unspsc,11162125,true
unspsc,11162130,true
unspsc,11162131,true
unspsc,11171501,true
unspsc,11171601,true
unspsc,11171602,true
unspsc,11171801,true
unspsc,11172001,true
unspsc,11191502,true
unspsc,11191602,true
unspsc,12131602,true
unspsc,12131701,true
unspsc,12131702,true
unspsc,12131707,true
unspsc,12131803,true
unspsc,12141702,true
unspsc,12141721,true
unspsc,12141723,true
unspsc,12141724,true
unspsc,12141902,true
unspsc,12141903,true
unspsc,12141904,true
unspsc,12141908,true
unspsc,12141909,true
unspsc,12141912,true
unspsc,12142004,true
unspsc,12142005,true
unspsc,12142101,true
unspsc,12142103,true
unspsc,12142104,true
unspsc,12142105,true
unspsc,12142106,true
unspsc,12142208,true
unspsc,12161501,true
unspsc,12161502,true
unspsc,12161503,true
unspsc,12161602,true
