"UTF-8"
UniqueName,Name
"LC Receiving","LC Receiving"
"Miami Receiving","Miami Receiving"
"CR_CBS_CN_FT00","Central Receiving FT00"
"Joliet Receiving","Joliet Receiving"
"Morganton Receiving","Morganton Receiving"
"Elkader Receiving","Elkader Receiving"
"Griffin Receiving","Griffin Receiving"
"Corinth Receiving","Corinth Receiving"
"Decatur Receiving","Decatur Receiving"
"TTT Receiving","TTT Receiving"
"Receiving Administrator","Receiving Administrator"
"TBU Receiving","TBU Receiving"
"Receiving Manager","Receiving Manager"
"Mossville H Receiving","Mossville H Receiving"
"Prentiss Receiving","Prentiss Receiving"
"Panama Receiving","Panama Receiving"
"Sumter HCG Receiving","Sumter HCG Receiving"
"Mossville VV Receiving","Mossville VV Receiving"
"Sumter PPPG Receiving","Sumter PPPG Receiving"
"Toccoa Receiving","Toccoa Receiving"
"West Plains Receiving","West Plains Receiving"
"Oxford Receiving","Oxford Receiving"
"RPF Receiving","RPF Receiving"
"T&SD Receiving","T&SD Receiving"
"Pontiac Receiving","Pontiac Receiving"
"Tucson Receiving","Tucson Receiving"
"Invoice Manager","Invoice Manager"
"CAT Invoice Entry","CAT Invoice Entry"
"Indirect Buyer (mfg1)","Indirect Buyer"
"Buyer Exception Handler","Buyer Exception Handler"
"Invoice Inquirer","Invoice Inquirer"
"Data Maintainer","Data Maintainer"
"CAT Invoice Data Entry","CAT Invoice Data Entry"
"Accounts Payable (ezopen)","Accounts Payable (Geneva)"
"General Purchasing(SAP)","General Purchasing(SAP)"
"Purchasing Mgr (mfg1-Europe)","Purchasing Manager (Europe)"
"Purchasing Mgr (ezopen-EU)","Purchasing Manager (EU)"
"Transaction Center (mfg1)","Transaction Center (Perkins-UK)"
"MSC Purchasing","MSC Purchasing"
"Purchasing Mgr (ezopen-Europe)","Purchasing Manager (Europe)"
"Professional Buyer","Professional Buyer"
"Transaction Center (US)","Indirect Purchasing (US)"
"Purchasing Mgr (mfg1-UK)","Purchasing Manager (Perkins-UK)"
"Transaction Center (EU)","Indirect Purchasing (EU)"
"Analysis Users","Analysis Users"
"CR_MACH1_US_1000_1060_UJ00","Site Receiver NAMG UJ00"
"CR_MACH1_US_1000_1060_UJ01","Site Receiver NAMG UJ01"
"CR_MACH1_US_1000_1060_UJ02","Site Receiver NAMG UJ02"
"CR_MACH1_US_1885_1010_R800","Site Receiver CPPI R800"
"CR_MACH1_US_1885_1010_R801","Site Receiver CPPI R801"
"CR_MACH1_US_1885_1010_R802","Site Receiver CPPI R802"
"HM_MACH1_US_1000_1060_UJ00","HM_MACH1_US_1000_1060_UJ00"
"HM_MACH1_US_1000_1060_UJ01","HM_MACH1_US_1000_1060_UJ01"
"HM_MACH1_US_1000_1060_UJ02","HM_MACH1_US_1000_1060_UJ02"
"HM_MACH1_US_1885_1010_R800","HazMat Approver CPPI R800"
"HM_MACH1_US_1885_1010_R801","HazMat Approver CPPI R801"
"HM_MACH1_US_1885_1010_R802","HazMat Approver CPPI R802"
"IP_MACH1_US_1000","Indirect Purchasing US (1000)"
"IT_MACH1_US_1885_1010","IT Approver CPPI"
"PA_MACH1_US_1000","Pre-Approver US (1000)"
"TM_MACH1_US_1000","Tax Manager US (1000)"
HM_MACH1_CA_4555,Hazmat Approver 4555
IP_MACH1_CA_4555,Indirect Purchasing 4555
TM_MACH1_CA_4555,Tax Manager (4555)
CR_MACH1_CA_4555,Central Receiver 4555
PA_MACH1_CA_4555,Pre-Approver US (4555)
PA_MACH1_US_3815,Pre-Approver US (3815)
HM_MACH1_US_3815_1540_FJ00,HazMat Approver 3815_1540_FJ00
HM_MACH1_US_3815_1540_FJ01,HazMat Approver 3815_1540_FJ01
HM_MACH1_US_3815_1540_FJ02,HazMat Approver 3815_1540_FJ02
IP_MACH1_US_3815,Indirect Purchasing US (3815)
TM_MACH1_US_3815,Tax Manager (3815)
CR_MACH1_US_3815_1540_FJ00,Central Receiver 3815_1540_FJ00
CR_MACH1_US_3815_1540_FJ01,Central Receiver 3815_1540_FJ01
CR_MACH1_US_3815_1540_FJ02,Central Receiver 3815_1540_FJ02
HM_MACH1_US_3815_1550_XO00,HazMat Approver 3815_1550_XO00
CR_MACH1_US_3815_1550_XO00,Central Receiver 3815_1550_XO00
HM_MACH1_US_3815_1560_FK00,HazMat Approver 3815_1560_FK00
CR_MACH1_US_3815_1560_FK00,Central Receiver 3815_1560_FK00
HM_MACH1_US_3815_1570_VQ00,HazMat Approver 3815_1570_VQ00
CR_MACH1_US_3815_1570_VQ00,Central Receiver 3815_1570_VQ00
PA_MACH1_GB_4535,Pre-Approver UK (4535)
HM_MACH1_GB_4535,Hazmat Approver 4535
IP_MACH1_GB_4535,Indirect Purchasing 4535
TM_MACH1_GB_4535,Tax Manager (4535)
