Cp1252,,
UniqueName,Name,NARSApplicationID
Category Approver (4321),Category Approver (4321),MSC-01-CATAPPROVER4321
Category Approver (4322),Category Approver (4322),MSC-01-CATAPPROVER4322
Category Approver (4323),Category Approver (4323),MSC-01-CATAPPROVER4323
Category Approver (44),Category Approver (44),MSC-01-CATAPPROVER44
Category Approver (45),Category Approver (45),MSC-01-CATAPPROVER45
Category Approver (46),Category Approver (46),MSC-01-CATAPPROVER46
Category Approver (47),Category Approver (47),MSC-01-CATAPPROVER47
Category Approver (48),Category Approver (48),MSC-01-CATAPPROVER48
Category Approver (49),Category Approver (49),MSC-01-CATAPPROVER49
Category Approver (50),Category Approver (50),MSC-01-CATAPPROVER50
Category Approver (51),Category Approver (51),MSC-01-CATAPPROVER51
Category Approver (52),Category Approver (52),MSC-01-CATAPPROVER52
Category Approver (53),Category Approver (53),MSC-01-CATAPPROVER53
Category Approver (54),Category Approver (54),MSC-01-CATAPPROVER54
Category Approver (55),Category Approver (55),MSC-01-CATAPPROVER55
Category Approver (56),Category Approver (56),MSC-01-CATAPPROVER56
Category Approver (60),Category Approver (60),MSC-01-CATAPPROVER60
Category Approver (70),Category Approver (70),MSC-01-CATAPPROVER70
Category Approver (71),Category Approver (71),MSC-01-CATAPPROVER71
Category Approver (72),Category Approver (72),MSC-01-CATAPPROVER72
Category Approver (73),Category Approver (73),MSC-01-CATAPPROVER73
Category Approver (76),Category Approver (76),MSC-01-CATAPPROVER76
Category Approver (77),Category Approver (77),MSC-01-CATAPPROVER77
Category Approver (78),Category Approver (78),MSC-01-CATAPPROVER78
Category Approver (80),Category Approver (80),MSC-01-CATAPPROVER80
Category Approver (81),Category Approver (81),MSC-01-CATAPPROVER81
Category Approver (82),Category Approver (82),MSC-01-CATAPPROVER82
Category Approver (83),Category Approver (83),MSC-01-CATAPPROVER83
Category Approver (84),Category Approver (84),MSC-01-CATAPPROVER84
Category Approver (85),Category Approver (85),MSC-01-CATAPPROVER85
Category Approver (86),Category Approver (86),MSC-01-CATAPPROVER86
Category Approver (90),Category Approver (90),MSC-01-CATAPPROVER90
Category Approver (91),Category Approver (91),MSC-01-CATAPPROVER91
Category Approver (92),Category Approver (92),MSC-01-CATAPPROVER92
Category Approver (93),Category Approver (93),MSC-01-CATAPPROVER93
Category Approver (94),Category Approver (94),MSC-01-CATAPPROVER94
Category Approver (mfg1-ACS-DX),Audit & Consult. Srvs Approver (Peterborough),MSC-DX-CATAPPROVER_ACSDX
Category Approver (mfg1-ACS-MX),Audit & Consult. Srvs Approver (Shrewsbury),MSC-MX-CATAPPROVER_ACSMX
Category Approver (mfg1-ACS-MY),Audit & Consult. Srvs Approver (Stafford),MSC-MY-CATAPPROVER_ACSMY
Category Approver (mfg1-ACS-NA),Audit & Consult. Srvs Approver (Shibaura),MSC-NA-CATAPPROVER_ACSNA
Category Approver (mfg1-HR-DX),HR Approver (Peterborough),MSC-DX-CATAPPROVER_HRDX
Category Approver (mfg1-HR-MX),HR Approver (Shrewsbury),MSC-MX-CATAPPROVER_HRMX
Category Approver (mfg1-HR-MY),HR Approver (Stafford),MSC-MY-CATAPPROVER_HRMY
Category Approver (mfg1-HR-NA),HR Approver (Shibaura),MSC-NA-CATAPPROVER_HRNA
Category Approver (mfg1-IT-DX),IT Approver (Peterborough),MSC-DX-CATAPPROVER_ITDX
Category Approver (mfg1-IT-MX),IT Approver (Shrewsbury),MSC-MX-CATAPPROVER_ITMX
Category Approver (mfg1-IT-MY),IT Approver (Stafford),MSC-MY-CATAPPROVER_ITMY
Category Approver (mfg1-IT-NA),IT Approver (Shibaura),MSC-NA-CATAPPROVER_ITNA
Central Receiving,Central Receiving,MSC-36-CENTRALRCVG
Change Coordinator,Change Coordinator,MSC-01-CHANGECOORDINATOR
Contract Admin,Contract Admin,MSC-01-CONTRACTADMIN
Contract Preparer,Contract Preparer,MSC-01-CONTRACT_PREPARER
Corinth Receiving,Corinth Receiving,MSC-68-CORINTHRCVG
Cross-Dock Receiving,Cross-Dock Receiving,MSC-01-CROSS-DOCKRCVG
D&FP Accounting Review Group,D&FP Accounting Review Group,MSC-01-D_FPACCTGRP
Danville Receiving,Danville Receiving,MSC-JS-DANVILLERCVG
Data Maintainer,Data Maintainer,MSC-01-DATAMAINTAINER
Decatur Receiving,Decatur Receiving,MSC-13-DECATURRCVG
Dyersburg Receiving,Dyersburg Receiving,MSC-01-DYERSBURGRCVG
E_CBS_MX_8900,Expense Approver(Mexico),MSC-01-E_CBS_MX_8900
E_CBS_MX_MC00,Expense Approver(Mexico),MSC-01-E_CBS_MX_MC00
E_CBS_MX_ME00,Expense Approver(Mexico),MSC-01-E_CBS_MX_ME00
E_CBS_MX_XY00,Expense Approver(Mexico),MSC-01-E_CBS_MX_XY00
Elkader Receiving, Elkader Receiving,MSC-01-ELKADERRCVG
FS_CBS_CN_FT00,Foreign Shipment Approver FT00,MSC-01-FT00_FS
Franklin Receiving,Franklin Receiving,MSC-IK-FRANKLINRCVG
FreightExceptionHandler,Freight Exception Handler,MSC-01-FRTEXCPHNDLR
Goods Inward (UK_DX),Goods Inward (UK_DX),MSC-DX-GOODINWARDS_UKDX
Goods Inward (UK_MX),Goods Inward (UK_MX),MSC-MX-GOODINWARDS_UKMX
Goods Inward (UK_MY),Goods Inward (UK_MY),MSC-MY-GOODINWARDS_UKMY
Goods Inward (UK_NA),Goods Inward (UK_NA),MSC-NA-GOODINWARDS_UKNA
Greenville Receiving,Greenville Receiving,MSC-GN-GREENVILLERCVG
Griffin Receiving,Griffin Receiving,MSC-GF-GRIFFINRCVG
HM_CBS_CN_FT00,Hazmat Approver FT00,MSC-01-HM_CBS_CN_FT00
HM_CBS_MX_8900,Hazmat Approver,MSC-01-HM_CBS_MX_8900
HM_CBS_MX_MC00,Hazmat Approver,MSC-01-HM_CBS_MX_MC00
HM_CBS_MX_ME00,Hazmat Approver,MSC-01-HM_CBS_MX_ME00
HM_CBS_MX_XY00,Hazmat Approver,MSC-01-HM_CBS_MX_XY00
HM_CBS_SG_AK00,Hazmat Approver (Reman - Singapore),MSC-SG-HAZMAT_APPROVER
HM_MACH1_US_1885,Hazmat Approver,MSC-01-MACH1HAZMAT
HM_Mach1_US_1000_UJ00,Hazmat Approver UJ00,MSC-01-UJ00_HAZMAT
HM_Mach1_US_1000_UJ01,Hazmat Approver UJ01,MSC-01-UJ01_HAZMAT
HM_Mach1_US_1000_UJ02,Hazmat Approver UJ02,MSC-01-UJ02_HAZMAT
Hazmat Coordinator,Hazmat Coordinator,MSC-01-HAZMATCOORDTOR
Houston Receiving,Houston Receiving,MSC-01-HOUSTONRCVG
IA_CBS_CN_FT00,e-Invoicing Approver FT00,MSC-01-FT00_EINV
IP_CBS_CN,Indirect Purchasing China,MSC-01-FT00_PROF_BUYER
IP_CBS_MX,Indirect Purchasing(Mexico),MSC-01-IP_CBS_MX
IP_CBS_SG,Professional Buyer,MSC-SG-PROF_BUYER
IP_MACH1_US_1885,Professional Buyer,MSC-01-PROF_BUYER_MACH1
IP_Mach1_US_1000_UJ00,Professional Buyer UJ00,MSC-01-UJ00_PROF_BUYER
IP_Mach1_US_1000_UJ01,Professional Buyer UJ01,MSC-01-UJ01_PROF_BUYER
IP_Mach1_US_1000_UJ02,Professional Buyer UJ02,MSC-01-UJ02_PROF_BUYER
IP_Mach1_US_1000,Professional Buyer 1000,MSC-01-IP_MACH1_US_1000
IR Error Handler (UK),IR Error Handler (UK),MSC-01-ERRORHANDLER_UK
IT Approver (EU),IT Approver (EU),MSC-36-ITAPPROVER
IT_CBS_MX,IT (Mexico),MSC-01-IT_CBS_MX
IT_MACH1,IT Approver (MACH1),MSC-01-CPPI_IT_APPROVER
Indirect Buyer (mfg1),Indirect Buyer,MSC-01-INDIRECTBUYER_UK
Invoice Inquirer,Invoice Inquirer,MSC-01-INVOICEINQUIRER
Invoice Manager,Invoice Manager,MSC-01-INVOICEMANAGER
Invoice Manager,Invoice Manager,MSC-CN-INVOICE_MANAGER
Joliet Receiving,Joliet Receiving,MSC-14-JOLIETRCVG
LC Receiving,LC Receiving,MSC-01-LCRCVG
Lafayette Receiving,Lafayette Receiving,MSC-88-LAFAYETTERCVG
Lagrange Receiving,Lagrange Receiving,MSC-LG-LAGRANGERCVG
Lognet Processor,Lognet Processor,MSC-01-LOGNETPROCESSOR
MSC Administrator,MSC Administrator,MSC-01-MSCADMINISTRATOR
MSC Black Belt,MSC Black Belt,MSC-01-MSCBLACKBELT
MSC Core Team,MSC Core Team,MSC-01-MSCCORETEAM
MSC Purchasing,MSC Purchasing,MSC-01-MSCPURCHASING
Malaga Reviewer,Malaga Reviewer,MSC-NG-MALAGAREVIEW
Mapleton Business Resources Group,Mapleton Business Resources Group,MSC-01-MPLTNBUSIRESOURCE
Mapleton Receiving,Mapleton Receiving,MSC-40-MAPLETONRCVG
Miami Receiving,Miami Receiving,MSC-DA-MIAMIRCVG
Morganton Receiving,Morganton Receiving,MSC-18-MORGANTONRCVG
Morton Receiving,Morton Receiving,MSC-47-MORTONRCVG
Mossville H Receiving,Mossville H Receiving,MSC-40-MOSSVILLEHRCVG
Mossville VV Receiving,Mossville VV Receiving,MSC-40-MOSSVILLEVVRCVG
Oxford Receiving,Oxford Receiving,MSC-JM-OXFORDRCVG
P3 Approver,P3 Approver,MSC-DX-P3_APPROVER
PA_CBS_MX_8900,PreApprover(Mexico),MSC-01-PA_CBS_MX_8900
PA_CBS_MX_MC00,PreApprover(Mexico),MSC-01-PA_CBS_MX_MC00
PA_CBS_MX_ME00,PreApprover(Mexico),MSC-01-PA_CBS_MX_ME00
PA_CBS_MX_XY00,PreApprover(Mexico),MSC-01-PA_CBS_MX_XY00
PA_MACH1_US_1885,PreApprovers,MSC-01-PREAPPRVRMACH1
